iter	Passed	Remaining
0	1	51
1	3	82
2	4	67
3	5	57
4	5	51
5	6	46
6	7	43
7	7	40
8	8	38
9	9	36
10	9	34
11	10	32
12	11	31
13	11	30
14	12	29
15	13	27
16	13	26
17	14	26
18	16	26
19	17	25
20	17	24
21	18	23
22	19	22
23	19	21
24	20	20
25	21	19
26	21	18
27	22	17
28	23	16
29	23	15
30	24	15
31	25	14
32	25	13
33	26	12
34	27	11
35	28	10
36	29	10
37	30	9
38	30	8
39	31	7
40	32	7
41	32	6
42	33	5
43	34	4
44	34	3
45	35	3
46	36	2
47	37	1
48	37	0
49	38	0
